symbol,time_open,time_close,side,entry,exit,leverage,pnl_usd,pnl_pct,score,strategy,reason,balance
BTC/USDT,2026-03-10 02:34,2026-03-10 13:36,buy,70008.20012,70044.85,8.0,-0.2211932895039066,-0.002211932895039066,39.0,Breakout,SIGNAL (1M: Phá gáy (Vol: DOT_BIEN); 3M: Phá gáy (Vol: TANG); 5M: Phá gáy (Vol: TANG); 15M: Phá gáy (Vol: TANG)),
BTC/USDT,2026-03-10 14:16,2026-03-10 14:39,sell,69330.44626200001,70177.06529486542,6.0,-7.806815953262684,-0.07806815953262684,-26.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-10 14:56,2026-03-10 17:38,buy,71439.07319299999,70587.04053800191,4.0,-5.09068145996927,-0.0509068145996927,68.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-11 11:59,2026-03-11 13:14,sell,69166.0827,69860.64,7.0,-7.58931395014511,-0.0758931395014511,-28.0,Breakout,SIGNAL (1M: Phá đỉnh (Vol: DOT_BIEN); 3M: Phá đỉnh (Vol: DOT_BIEN); 5M: Phá đỉnh (Vol: TANG); 15M: Phá đỉnh (Vol: TANG)),
BTC/USDT,2026-03-11 13:38,2026-03-11 13:51,buy,70932.782569,70106.54486752865,4.0,-4.979271335747374,-0.049792713357473734,28.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-11 17:24,2026-03-11 22:35,buy,71188.528141,70344.88671379439,6.0,-7.590483522299969,-0.07590483522299969,37.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-13 00:13,2026-03-13 10:18,buy,71060.735363,72483.1613357582,7.0,13.451931847375429,0.13451931847375428,28.0,Breakout,TP (Hit Price/ROE),
BTC/USDT,2026-03-13 10:18,2026-03-13 14:24,buy,72466.055881,73847.08,8.0,14.606024939100925,0.14606024939100926,29.0,Breakout,TP (Hit Price/ROE),
BTC/USDT,2026-03-13 14:24,2026-03-13 14:43,buy,73839.323194,73086.32802888517,4.0,-4.399101121425317,-0.04399101121425317,57.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-13 22:02,2026-03-14 23:02,sell,70769.42235000001,70880.59,7.0,-1.6595900830606671,-0.01659590083060667,-26.0,Breakout,SIGNAL (1M: Phá đỉnh (Vol: DOT_BIEN); 3M: Phá đỉnh (Vol: DOT_BIEN); 5M: Phá đỉnh (Vol: DOT_BIEN); 15M: Phá đỉnh (Vol: TANG)),
BTC/USDT,2026-03-15 02:02,2026-03-15 13:09,buy,71271.366424,71415.67,7.0,0.857294325452679,0.00857294325452679,27.0,Breakout,SIGNAL (1M: Phá gáy (Vol: TANG); 3M: Phá gáy (Vol: TANG); 5M: Phá gáy (Vol: DOT_BIEN); 15M: Phá gáy (Vol: DOT_BIEN)),
BTC/USDT,2026-03-15 17:54,2026-03-15 18:46,buy,71972.036484,71603.5030687915,6.0,-3.55230502188521,-0.035523050218852104,27.0,Breakout,SL (Hit Price/ROE),
